,Metric,Maximum Sortino Portfolio,Comp Results,PCT Diff
0,Dollar Amount,1000.0,1580.9833342802176,0.5809833342802175
1,Return PCT,0.3348040807956965,0.5809833342802175,0.7352934674495322
2,Downside SD,0.3422134706533604,0.1821314841027481,-0.4677840011527914
3,Upside SD,0.3457742159862902,0.2362119380379607,-0.3168607515624404
4,Volatility Skewness,1.010405041409187,1.2969308365417125,0.28357518360450285
5,Sortino,0.8312182458878998,,
6,LEU,0.2577166472355297,,
7,CCJ,0.14489581892753783,,
8,UEC,0.007351356425834279,,
9,NXE,0.08558228179758492,,
10,UUUU,0.08769567914387195,,
11,URG,0.022307233897648986,,
12,LTBR,0.0008946488472738964,,
13,BWXT,0.051713797531412385,,
14,URA,0.010569162867718774,,
15,URNM,0.26557938785176605,,
16,NLR,0.06569398547382115,,
